scope,key,n_events,duration_s,gpu_j,cpu_j,dram_j
question,WebQTest-1494,1,0.224,58.91,0.00,0.00
question,WebQTest-1495,1,0.225,55.96,0.00,0.00
question,WebQTest-1496,1,0.292,86.90,0.00,0.00
question,WebQTest-1499,1,0.210,59.53,0.00,0.00
question,WebQTest-150,1,0.182,27.43,0.00,0.00
question,WebQTest-1500,1,0.174,56.30,0.00,0.00
question,WebQTest-1501,1,0.241,88.67,0.00,0.00
question,WebQTest-1502,1,0.258,59.39,0.00,0.00
question,WebQTest-1503,1,0.241,90.69,0.00,0.00
question,WebQTest-1504,1,-0.821,58.12,0.00,0.00
question,WebQTest-1506,1,0.209,90.13,0.00,0.00
question,WebQTest-1507,1,0.776,217.13,0.00,0.00
question,WebQTest-1508,1,0.225,90.00,0.00,0.00
question,WebQTest-1510,1,0.543,154.14,0.00,0.00
question,WebQTest-1513,1,0.781,245.99,0.00,0.00
question,WebQTest-1515,1,0.559,185.33,0.00,0.00
question,WebQTest-1516,1,0.291,84.10,0.00,0.00
question,WebQTest-1518,1,0.292,90.02,0.00,0.00
question,WebQTest-1519,1,0.195,59.36,0.00,0.00
question,WebQTest-1520,1,0.217,59.94,0.00,0.00
question,WebQTest-1522,1,0.148,25.29,0.00,0.00
question,WebQTest-1523,1,0.235,92.03,0.00,0.00
question,WebQTest-1524,1,0.147,26.65,0.00,0.00
question,WebQTest-1525,1,0.184,56.30,0.00,0.00
question,WebQTest-1526,1,0.186,55.90,0.00,0.00
question,WebQTest-1527,1,0.201,55.85,0.00,0.00
question,WebQTest-1528,1,0.533,152.19,0.00,0.00
question,WebQTest-1529,1,0.218,58.28,0.00,0.00
question,WebQTest-153,1,0.647,209.83,0.00,0.00
question,WebQTest-1531,1,0.287,91.22,0.00,0.00
question,WebQTest-1533,1,0.236,60.14,0.00,0.00
question,WebQTest-1534,1,0.236,57.55,0.00,0.00
question,WebQTest-1535,1,0.255,92.50,0.00,0.00
question,WebQTest-1536,1,0.226,58.71,0.00,0.00
question,WebQTest-1537,1,0.273,90.77,0.00,0.00
question,WebQTest-1538,1,0.768,216.31,0.00,0.00
question,WebQTest-1539,1,0.150,28.38,0.00,0.00
question,WebQTest-154,1,0.311,87.05,0.00,0.00
