t,gpu0_w
1786361277.833,313.417
1786361277.937,314.726
1786361278.040,314.627
1786361278.144,314.682
1786361278.248,314.633
1786361278.352,314.732
1786361278.456,314.735
1786361278.559,314.686
1786361278.660,313.892
1786361278.764,314.723
1786361278.868,314.689
1786361278.972,314.792
1786361279.076,314.909
1786361279.179,314.947
1786361279.283,315.119
1786361279.387,315.173
1786361279.491,315.233
1786361279.595,315.316
1786361279.699,315.395
1786361279.803,317.124
1786361279.903,315.299
1786361280.007,315.394
1786361280.111,315.378
1786361280.215,315.5
1786361280.319,314.97
1786361280.423,314.718
1786361280.527,314.798
1786361280.628,313.453
1786361280.732,313.549
1786361280.836,313.549
1786361280.940,313.632
1786361281.044,315.526
1786361281.148,315.573
1786361281.252,315.629
1786361281.355,315.644
1786361281.456,314.752
1786361281.559,314.845
1786361281.662,314.813
1786361281.766,315.315
1786361281.868,315.212
1786361281.972,315.252
1786361282.076,315.195
1786361282.180,315.185
1786361282.284,315.192
1786361282.387,315.143
1786361282.491,315.132
1786361282.593,315.247
1786361282.697,315.314
1786361282.801,315.358
1786361282.905,316.308
1786361283.008,316.33
1786361283.112,316.49
1786361283.214,315.079
1786361283.315,314.981
1786361283.417,315.015
1786361283.521,315.226
1786361283.625,315.242
1786361283.729,316.577
1786361283.829,316.559
1786361283.931,316.618
1786361284.034,315.183
1786361284.137,315.157
1786361284.241,314.991
1786361284.345,316.302
1786361284.449,316.305
1786361284.553,314.281
1786361284.657,314.012
1786361284.760,313.974
1786361284.862,313.956
1786361284.963,313.956
1786361285.067,312.343
1786361285.171,311.646
1786361285.275,313.22
1786361285.378,313.245
1786361285.482,313.452
1786361285.585,313.452
1786361285.687,313.811
1786361285.790,313.488
1786361285.891,313.102
1786361285.994,313.098
1786361286.098,313.047
1786361286.201,314.719
1786361286.305,315.289
1786361286.408,314.549
1786361286.512,313.679
1786361286.616,313.575
1786361286.719,313.509
1786361286.820,313.243
1786361286.921,315.555
1786361287.025,315.006
1786361287.129,314.946
1786361287.232,314.984
1786361287.336,314.902
1786361287.439,314.725
1786361287.539,315.281
1786361287.643,314.38
1786361287.747,314.491
1786361287.848,314.474
1786361287.951,314.481
1786361288.055,314.56
1786361288.158,315.622
1786361288.262,315.669
1786361288.366,315.816
1786361288.468,316.0
1786361288.572,314.004
1786361288.676,313.867
1786361288.779,315.325
